"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"11/23/2022","58","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","31","58","."
"11/24/2022","69","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","31","69","."
"11/25/2022","39","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","29","39","."
"11/26/2022","35","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","28","35","."
"11/27/2022","43","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","21","43","."
"11/28/2022","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","27","18","."
"11/29/2022","35","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","19","35","."
"11/30/2022","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","26","20","."
"12/01/2022","23","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","19","23","."
"12/02/2022","38","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","19","38","."
"12/03/2022","29","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","23","29","."
"12/04/2022","36","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","21","36","."
"12/05/2022","58","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","19","58","."
"12/06/2022","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","10","54","."
"12/07/2022","46","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","7","46","."
"12/08/2022","27","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","23","27","."
"12/09/2022","30","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","20","30","."
"12/10/2022","44","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","17","44","."
"12/11/2022","38","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","16","38","."
"12/12/2022","26","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","21","26","."
"12/13/2022","29","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","26","29","."
"12/14/2022","46","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","20","46","."
"12/15/2022","26","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","19","26","."
"12/16/2022","20","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","20","19","."
"12/17/2022","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","26","23","."
"12/18/2022","23","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","21","23","."
"12/19/2022","25","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","20","25","."
"12/20/2022","39","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","17","39","."
"12/21/2022","52","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","12","52","."
"12/22/2022","39","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","26","39","."
"12/23/2022","25","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","25","13","."
"12/24/2022","22","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","21","22","."
"12/25/2022","47","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","25","47","."
"12/26/2022","33","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","24","33","."
"12/27/2022","44","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","25","44","."
"12/28/2022","59","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","21","59","."
"12/29/2022","71","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","19","71","."
"12/30/2022","63","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","23","63","."
"12/31/2022","50","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","14","50","."
