"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/01/2020","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","32","19","22","16"
"10/02/2020","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","30","10","18","21"
"10/03/2020","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","33","15","28","25"
"10/04/2020","47","PM2.5","RIVER TERRACE","11-001-0041","AQS","13","39","21","47","25"
"10/05/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","36","14","22","25"
"10/06/2020","40","PM2.5","Near Road","11-001-0051","AQS","7","39","19","40","26"
"10/07/2020","47","PM2.5","Near Road","11-001-0051","AQS","7","42","27","47","27"
"10/08/2020","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","33","16","20","21"
"10/09/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","35","17","30","24"
"10/10/2020","39","PM2.5","Near Road","11-001-0051","AQS","6","27","16","39","13"
"10/11/2020","37","PM2.5","Near Road","11-001-0051","AQS","5","26","10","37","8"
"10/12/2020","23","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","23","6","6","8"
"10/13/2020","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","30","10","20","12"
"10/14/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","41","19","28","23"
"10/15/2020","37","PM2.5","Near Road","11-001-0051","AQS","6","37","24","37","25"
"10/16/2020","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","33","10","18","20"
"10/17/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","34","13","23","25"
"10/18/2020","46","PM2.5","Near Road","11-001-0051","AQS","10","36","19","46","24"
"10/19/2020","32","PM2.5","Near Road","11-001-0051","AQS","7","32","22","32","22"
"10/20/2020","32","PM2.5","Near Road","11-001-0051","AQS","7","32","19","32","20"
"10/21/2020","43","PM2.5","Near Road","11-001-0051","AQS","8","20","17","43","24"
"10/22/2020","52","PM2.5","Near Road","11-001-0051","AQS","8","28","18","52","19"
"10/23/2020","32","PM2.5","Near Road","11-001-0051","AQS","6","29","19","32","17"
"10/24/2020","25","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","25","10","21","10"
"10/25/2020","16","Ozone","RIVER TERRACE","11-001-0041","AQS","3","16","8","13","12"
"10/26/2020","34","PM2.5","Near Road","11-001-0051","AQS","11","9","16","34","16"
"10/27/2020","42","PM2.5","Near Road","11-001-0051","AQS","13","11","21","42","16"
"10/28/2020","54","PM2.5","Near Road","11-001-0051","AQS","9","19","22","54","23"
"10/29/2020","19","Ozone","RIVER TERRACE","11-001-0041","AQS","8","19","6","15","13"
"10/30/2020","19","Ozone","RIVER TERRACE","11-001-0041","AQS","3","19","6","11","12"
"10/31/2020","24","Ozone","RIVER TERRACE","11-001-0041","AQS","6","24","10","18","18"
"11/01/2020","27","Ozone","RIVER TERRACE","11-001-0041","AQS","6","27","13","13","8"
"11/02/2020","31","Ozone","RIVER TERRACE","11-001-0041","AQS","3","31","13","11","12"
"11/03/2020","34","NO2","Near Road","11-001-0051","AQS","14","33","21","27","34"
"11/04/2020","48","PM2.5","Near Road","11-001-0051","AQS","16","33","28","48","34"
"11/05/2020","55","PM2.5","Near Road","11-001-0051","AQS","14","34","24","55","37"
"11/06/2020","65","PM2.5","Near Road","11-001-0051","AQS","16","33","33","65","42"
"11/07/2020","82","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","19","36","44","82","42"
"11/08/2020","89","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","20","32","43","89","29"
"11/09/2020","58","PM2.5","Near Road","11-001-0051","AQS","14","27","24","58","31"
"11/10/2020","40","PM2.5","Near Road","11-001-0051","AQS","7","31","20","40","29"
"11/11/2020","28","PM2.5","Near Road","11-001-0051","AQS","6","17","10","28","20"
"11/12/2020","19","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","19","6","15","12"
"11/13/2020","33","PM2.5","Near Road","11-001-0051","AQS","5","23","16","33","27"
"11/14/2020","52","PM2.5","Near Road","11-001-0051","AQS","13","34","20","52","34"
"11/15/2020","47","PM2.5","Near Road","11-001-0051","AQS","14","34","20","47","27"
"11/16/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","36","9","6","16"
"11/17/2020","39","Ozone","RIVER TERRACE","11-001-0041","AQS","6","39","14","9","28"
"11/18/2020","39","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","33","11","13","39"
"11/19/2020","43","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","13","29","20","37","43"
"11/20/2020","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","17","30","27","51","41"
"11/21/2020","70","PM2.5","Near Road","11-001-0051","AQS","24","29","39","70","41"
"11/22/2020","37","PM2.5","Near Road","11-001-0051","AQS","5","26","21","37","21"
"11/23/2020","35","Ozone","RIVER TERRACE","11-001-0041","AQS","5","35","16","20","14"
"11/24/2020","30","NO2","Near Road","11-001-0051","AQS","6","28","12","20","30"
"11/25/2020","31","PM2.5","Near Road","11-001-0051","AQS","7","28","17","31","25"
"11/26/2020","30","PM2.5","Near Road","11-001-0051","AQS","7","28","14","30","25"
"11/27/2020","43","PM2.5","Near Road","11-001-0051","AQS","9","20","20","43","26"
"11/28/2020","40","PM2.5","Near Road","11-001-0051","AQS","11","31","17","40","25"
"11/29/2020","40","PM2.5","RIVER TERRACE","11-001-0041","AQS","11","29","15","40","31"
"11/30/2020","26","NO2","Near Road","11-001-0051","AQS","5","23","6","18","26"
"12/01/2020","22","Ozone","RIVER TERRACE","11-001-0041","AQS","2","22","5","3","10"
"12/02/2020","30","Ozone","Takoma Rec Center","11-001-0050","AQS","2","30","9","10","19"
"12/03/2020","50","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","23",".","33","50"
"12/04/2020","43","PM2.5","Near Road","11-001-0051","AQS","9","22","19","43","30"
"12/05/2020","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","27","9","22","27"
"12/06/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","31","6","10","17"
"12/07/2020","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","29","9","17","25"
"12/08/2020","31","Ozone","Takoma Rec Center","11-001-0050","AQS","2","31","9","16","12"
"12/09/2020","38","PM2.5","Near Road","11-001-0051","AQS","14","20","19","38","33"
"12/10/2020","80","PM2.5","Near Road","11-001-0051","AQS","18","14","41","80","42"
"12/11/2020","71","PM2.5","Near Road","11-001-0051","AQS","16","28","31","71","39"
"12/12/2020","70","PM2.5","Near Road","11-001-0051","AQS","18","31","26","70","34"
"12/13/2020","41","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","3","30","15","41","25"
"12/14/2020","26","NO2","RIVER TERRACE","11-001-0041","AQS","3","22","9","25","26"
"12/15/2020","33","NO2","RIVER TERRACE","11-001-0041","AQS","7","25","13","23","33"
"12/16/2020","37","NO2","RIVER TERRACE","11-001-0041","AQS","8","21","12","20","37"
"12/17/2020","35","NO2","RIVER TERRACE","11-001-0041","AQS","5","30","8","22","35"
"12/18/2020","29","PM2.5","RIVER TERRACE","11-001-0041","AQS","5","27","11","29","25"
"12/19/2020","38","PM2.5","RIVER TERRACE","11-001-0041","AQS","7","19","16","38","31"
"12/20/2020","43","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","23","15","43","26"
"12/21/2020","53","PM2.5","Near Road","11-001-0051","AQS","6","16","19","53","24"
"12/22/2020","23","Ozone","Takoma Rec Center","11-001-0050","AQS","6","23","9","17","23"
"12/23/2020","41","NO2","RIVER TERRACE","11-001-0041","AQS","11","20","18","31","41"
"12/24/2020","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","30","14","25","27"
"12/25/2020","22","Ozone","RIVER TERRACE","11-001-0041","AQS","2","22","5","10","15"
"12/26/2020","28","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","28","8","15","25"
"12/27/2020","34","PM2.5","Near Road","11-001-0051","AQS","8","24","15","34","31"
"12/28/2020","35","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","25","18","34","35"
"12/29/2020","34","NO2","RIVER TERRACE","11-001-0041","AQS","7","33","9","22","34"
"12/30/2020","36","NO2","RIVER TERRACE","11-001-0041","AQS","9","30","13","29","36"
"12/31/2020","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","27","11","23","14"
