"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/04/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","13","43","12","36","43"
"03/05/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","42","11","18","17"
"03/06/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","44","10","21","30"
"03/07/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","44","12","36","38"
"03/08/2021","55","PM2.5","Near Road","11-001-0051","AQS","14","44","17","55","45"
"03/09/2021","58","PM2.5","Near Road","11-001-0051","AQS","14","50","33","58","48"
"03/10/2021","68","PM2.5","Near Road","11-001-0051","AQS","16","61","31","68","46"
"03/11/2021","63","PM2.5","Near Road","11-001-0051","AQS","6","61","31","63","31"
"03/12/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","44","19","36","42"
"03/13/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","47","10","20","42"
"03/14/2021","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","48","15","23","34"
"03/15/2021","48","NO2","Near Road","11-001-0051","AQS","5","43","10","18","48"
"03/16/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","36","16","27","33"
"03/17/2021","38","PM2.5","Near Road","11-001-0051","AQS","6","28","12","38","20"
"03/18/2021","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","6","24","25"
"03/19/2021","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","40","7","19","12"
"03/20/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","42","14","29","40"
"03/21/2021","56","PM2.5","Near Road","11-001-0051","AQS","14","49","19","56","41"
"03/22/2021","47","PM2.5","Near Road","11-001-0051","AQS","9","47","18","47","43"
"03/23/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","42","19","38","38"
"03/24/2021","34","PM2.5","Near Road","11-001-0051","AQS","6","30","6","34","25"
"03/25/2021","48","PM2.5","Near Road","11-001-0051","AQS","6","26","11","48","24"
"03/26/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","11","28","11"
"03/27/2021","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","8","21","30"
"03/28/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","36","6","25","10"
"03/29/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","44","7","18","38"
"03/30/2021","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","47","14","39","44"
"03/31/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","38","10","32","25"
"04/01/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","8","15","17"
"04/02/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","43","9","17","16"
"04/03/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42","8","20","30"
"04/04/2021","71","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","71","18","38","29"
"04/05/2021","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","61","22","50","48"
"04/06/2021","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","14","64","20","52","44"
"04/07/2021","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","87","29","54","39"
"04/08/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","43","11","22","28"
"04/09/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","29","10","28","22"
"04/10/2021","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","44","11","40","16"
"04/11/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","9","25","24"
"04/12/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","33","8","26","25"
"04/13/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","36","9","32","30"
"04/14/2021","44","PM2.5","Near Road","11-001-0051","AQS","7","35","11","44","25"
"04/15/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","43","13","29","21"
"04/16/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","39","9","18","14"
"04/17/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","38","7","27","29"
"04/18/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42","7","30","36"
"04/19/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42","12","35","36"
