"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"09/25/2021","43","PM2.5","Near Road","11-001-0051","AQS","13","43","14","43","27"
"09/26/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","39","10","26","27"
"09/27/2021","42","Ozone","Takoma Rec Center","11-001-0050","AQS","7","42","16","28","25"
"09/28/2021","54","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","42","17","54","25"
"09/29/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","33","9","22","30"
"09/30/2021","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","38","12","26","24"
"10/01/2021","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","31","12","26","31"
"10/02/2021","52","PM2.5","Near Road","11-001-0051","AQS","10","45","19","52","27"
"10/03/2021","58","PM2.5","Near Road","11-001-0051","AQS","10","43","18","58","25"
"10/04/2021","40","PM2.5","Near Road","11-001-0051","AQS","6","35","10","40","21"
"10/05/2021","51","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","30","14","51","18"
"10/06/2021","30","PM2.5","Near Road","11-001-0051","AQS","6","24","9","30","18"
"10/07/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","34","11","26","26"
"10/08/2021","40","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","8","39","14","40","31"
"10/09/2021","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","36","14","33","15"
"10/10/2021","31","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","27","12","31","7"
"10/11/2021","27","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","25","9","27","14"
"10/12/2021","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","27","7","25","18"
"10/13/2021","40","PM2.5","Near Road","11-001-0051","AQS","9","28","9","40","25"
"10/14/2021","42","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","9","41","15","42","36"
"10/15/2021","52","PM2.5","Near Road","11-001-0051","AQS","11","36","19","52","25"
"10/16/2021","38","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","34","10","38","20"
"10/17/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","32","9","24","8"
"10/18/2021","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","39","9","22","30"
"10/19/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","42","15","37","35"
"10/20/2021","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","49","19","35","39"
"10/21/2021","46","PM2.5","Near Road","11-001-0051","AQS","10","41","20","46","33"
"10/22/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","32","9","27","18"
"10/23/2021","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","27","8","23","15"
"10/24/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","8","24","14"
"10/25/2021","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","13","37","15"
"10/26/2021","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","26","3","13","8"
"10/27/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","29","6","15","19"
"10/28/2021","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","30","12","27","22"
"10/29/2021","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","2","16","17"
"10/30/2021","26","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","23","8","26","17"
"10/31/2021","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","26","4","18","16"
"11/01/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","35","8","22","29"
"11/02/2021","32","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","11","25","8","32","25"
"11/03/2021","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","30","7","23","25"
"11/04/2021","28","PM2.5","RIVER TERRACE","11-001-0041","AQS","9","23","10","28","28"
"11/05/2021","38","PM2.5","RIVER TERRACE","11-001-0041","AQS","10","33","12","38","32"
"11/06/2021","52","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","14","32","13","52","30"
"11/07/2021","45","PM2.5","RIVER TERRACE","11-001-0041","AQS","8","37","14","45","33"
"11/08/2021","46","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","13","40","20","46","42"
"11/09/2021","52","PM2.5","Near Road","11-001-0051","AQS","15","33","20","52","46"
"11/10/2021","58","PM2.5","Near Road","11-001-0051","AQS","15","45","22","58","47"
"11/11/2021","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","14","44","19","54","31"
"11/12/2021","35","NO2","Takoma Rec Center","11-001-0050","AQS","11","33","9","28","35"
"11/13/2021","34","PM2.5","Near Road","11-001-0051","AQS","15","24","8","34","26"
"11/14/2021","23","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","21","6","23","22"
"11/15/2021","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","26","6","13","21"
"11/16/2021","30","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","28","11","26","30"
"11/17/2021","61","PM2.5","Near Road","11-001-0051","AQS","13","27","24","61","39"
"11/18/2021","49","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","39","20","49","31"
"11/19/2021","30","NO2","Near Road","11-001-0051","AQS","3","28","6","18","30"
"11/20/2021","32","PM2.5","Near Road","11-001-0051","AQS","8","25","9","32","27"
"11/21/2021","42","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","23","15","42","22"
"11/22/2021","47","NO2","Near Road","11-001-0051","AQS","5","29","10","32","47"
"11/23/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","29","6","20","25"
"11/24/2021","42","PM2.5","Near Road","11-001-0051","AQS","9","27","14","42","36"
"11/25/2021","59","PM2.5","Near Road","11-001-0051","AQS","10","24","19","59","33"
"11/26/2021","34","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","10","28","7","34","29"
"11/27/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","32","6","20","27"
"11/28/2021","35","PM2.5","Near Road","11-001-0051","AQS","7","29","11","35","26"
"11/29/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","29","6","21","28"
"11/30/2021","51","PM2.5","Near Road","11-001-0051","AQS","15","20","19","51","36"
"12/01/2021","61","PM2.5","Near Road","11-001-0051","AQS","20","25","24","61","37"
"12/02/2021","45","PM2.5","Near Road","11-001-0051","AQS","5","32","20","45","30"
"12/03/2021","32","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","28","9","23","32"
"12/04/2021","43","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","13","27","19","43","34"
"12/05/2021","50","PM2.5","Near Road","11-001-0051","AQS","17","31","12","50","31"
"12/06/2021","47","PM2.5","Near Road","11-001-0051","AQS","6","31","19","47","32"
"12/07/2021","35","NO2","Near Road","11-001-0051","AQS","7","30","10","24","35"
"12/08/2021","38","PM2.5","Near Road","11-001-0051","AQS","8","27","17","38","33"
"12/09/2021","45","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","24","19","45","42"
"12/10/2021","55","PM2.5","Near Road","11-001-0051","AQS","6","20","23","55","27"
"12/11/2021","45","PM2.5","Near Road","11-001-0051","AQS","6","29","12","45","21"
"12/12/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","33","5","21","33"
"12/13/2021","40","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","14","13","15","40","36"
"12/14/2021","54","PM2.5","Near Road","11-001-0051","AQS","19","23","18","54","45"
"12/15/2021","52","PM2.5","Near Road","11-001-0051","AQS","10","20","23","52","32"
"12/16/2021","34","PM2.5","Near Road","11-001-0051","AQS","9","31","16","34","24"
"12/17/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","33","16","29","27"
"12/18/2021","40","PM2.5","Near Road","11-001-0051","AQS","7","25","17","40","26"
"12/19/2021","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","29","4","13","10"
"12/20/2021","32","NO2","Takoma Rec Center","11-001-0050","AQS","8","27","9","24","32"
"12/21/2021","46","PM2.5","Near Road","11-001-0051","AQS","9","14","17","46","40"
"12/22/2021","45","PM2.5","Near Road","11-001-0051","AQS","5","30","14","45","25"
"12/23/2021","40","PM2.5","Near Road","11-001-0051","AQS","7","28","12","40","31"
"12/24/2021","37","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","21","15","37","30"
"12/25/2021","34","PM2.5","Near Road","11-001-0051","AQS","7","31","9","34","28"
"12/26/2021","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","4","20","22"
"12/27/2021","38","PM2.5","Near Road","11-001-0051","AQS","6","22","10","38","27"
"12/28/2021","41","PM2.5","Near Road","11-001-0051","AQS","7","20","14","41","36"
"12/29/2021","52","PM2.5","Near Road","11-001-0051","AQS","7","14","19","52","26"
"12/30/2021","49","PM2.5","Near Road","11-001-0051","AQS","6","12","12","49","25"
"12/31/2021","33","PM2.5","Near Road","11-001-0051","AQS","6","18","7","33","20"
