OBJECTID,REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME
91,2021/06/07 00:00:00+00,Ward 1,110,5723,196960,2023/01/07 08:00:08+00
92,2021/06/08 00:00:00+00,Ward 1,110,5724,196960,2023/01/07 08:00:08+00
93,2021/06/09 00:00:00+00,Ward 1,110,5724,198266,2023/01/07 08:00:08+00
94,2021/06/10 00:00:00+00,Ward 1,110,5725,198266,2023/01/07 08:00:08+00
95,2021/06/11 00:00:00+00,Ward 1,110,5723,198266,2023/01/07 08:00:08+00
96,2021/06/12 00:00:00+00,Ward 1,110,,,2023/01/07 08:00:08+00
97,2021/06/14 00:00:00+00,Ward 1,110,5727,198266,2023/01/07 08:00:08+00
98,2021/06/15 00:00:00+00,Ward 1,110,5727,198266,2023/01/07 08:00:08+00
99,2021/06/16 00:00:00+00,Ward 1,110,5728,199143,2023/01/07 08:00:08+00
100,2021/06/17 00:00:00+00,Ward 1,110,5731,,2023/01/07 08:00:08+00
101,2021/06/18 00:00:00+00,Ward 1,110,5731,199143,2023/01/07 08:00:08+00
102,2021/06/21 00:00:00+00,Ward 1,110,5732,199143,2023/01/07 08:00:08+00
103,2021/06/22 00:00:00+00,Ward 1,110,5732,199143,2023/01/07 08:00:08+00
104,2021/06/23 00:00:00+00,Ward 1,110,5733,200432,2023/01/07 08:00:08+00
105,2021/06/24 00:00:00+00,Ward 1,110,5734,200432,2023/01/07 08:00:08+00
106,2021/06/25 00:00:00+00,Ward 1,110,5736,200432,2023/01/07 08:00:08+00
107,2021/06/28 00:00:00+00,Ward 1,110,5734,200432,2023/01/07 08:00:08+00
108,2021/06/29 00:00:00+00,Ward 1,110,5735,200432,2023/01/07 08:00:08+00
109,2021/06/30 00:00:00+00,Ward 1,110,5734,,2023/01/07 08:00:08+00
110,2021/07/01 00:00:00+00,Ward 1,110,5738,,2023/01/07 08:00:08+00
111,2021/07/02 00:00:00+00,Ward 1,110,5742,,2023/01/07 08:00:08+00
112,2021/07/05 00:00:00+00,Ward 1,110,5744,,2023/01/07 08:00:08+00
113,2021/07/06 00:00:00+00,Ward 1,110,5746,201620,2023/01/07 08:00:08+00
114,2021/07/07 00:00:00+00,Ward 1,110,5746,201620,2023/01/07 08:00:08+00
115,2021/07/08 00:00:00+00,Ward 1,110,5744,,2023/01/07 08:00:08+00
116,2021/07/09 00:00:00+00,Ward 1,110,5756,201620,2023/01/07 08:00:08+00
117,2021/07/12 00:00:00+00,Ward 1,110,7272,201620,2023/01/07 08:00:08+00
118,2021/07/13 00:00:00+00,Ward 1,110,5763,,2023/01/07 08:00:08+00
119,2021/07/14 00:00:00+00,Ward 1,110,5771,203800,2023/01/07 08:00:08+00
120,2021/07/15 00:00:00+00,Ward 1,110,5776,203800,2023/01/07 08:00:08+00
121,2021/07/16 00:00:00+00,Ward 1,110,5792,203800,2023/01/07 08:00:08+00
122,2021/07/19 00:00:00+00,Ward 1,110,5800,203800,2023/01/07 08:00:08+00
123,2021/07/20 00:00:00+00,Ward 1,110,5803,203800,2023/01/07 08:00:08+00
124,2021/07/21 00:00:00+00,Ward 1,110,5816,205536,2023/01/07 08:00:08+00
125,2021/07/22 00:00:00+00,Ward 1,110,5818,205536,2023/01/07 08:00:08+00
126,2021/07/23 00:00:00+00,Ward 1,110,5839,205536,2023/01/07 08:00:08+00
127,2021/07/26 00:00:00+00,Ward 1,110,5845,205536,2023/01/07 08:00:08+00
