date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2021-03-06,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,44,21,30
2021-03-07,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,44,36,38
2021-03-08,55,PM2.5,Near Road,11-001-0051,AQS,14,44,55,45
2021-03-09,58,PM2.5,Near Road,11-001-0051,AQS,14,50,58,48
2021-03-10,68,PM2.5,Near Road,11-001-0051,AQS,16,61,68,46
2021-03-11,63,PM2.5,Near Road,11-001-0051,AQS,6,61,63,31
2021-03-12,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,44,36,42
2021-03-13,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,47,20,42
2021-03-14,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,48,23,34
2021-03-15,48,NO2,Near Road,11-001-0051,AQS,5,43,18,48
2021-03-16,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,36,27,33
2021-03-17,38,PM2.5,Near Road,11-001-0051,AQS,6,28,38,20
2021-03-18,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,31,24,25
2021-03-19,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,40,19,12
2021-03-20,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,42,29,40
2021-03-21,56,PM2.5,Near Road,11-001-0051,AQS,14,49,56,41
2021-03-22,47,PM2.5,Near Road,11-001-0051,AQS,9,47,47,43
2021-03-23,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,42,38,38
2021-03-24,34,PM2.5,Near Road,11-001-0051,AQS,6,30,34,25
2021-03-25,48,PM2.5,Near Road,11-001-0051,AQS,6,26,48,24
2021-03-26,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,47,28,11
2021-03-27,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,45,21,30
2021-03-28,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,36,25,10
2021-03-29,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,44,18,38
2021-03-30,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,47,39,44
2021-03-31,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,38,32,25
2021-04-01,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,38,15,17
2021-04-02,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,43,17,16
2021-04-03,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,20,30
2021-04-04,71,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,71,38,29
2021-04-05,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,61,50,48
2021-04-06,64,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,14,64,52,44
2021-04-07,87,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,87,54,39
2021-04-08,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,43,22,28
2021-04-09,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,29,28,22
2021-04-10,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,44,40,16
2021-04-11,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,25,24
2021-04-12,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,33,26,25
2021-04-13,36,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,36,32,30
2021-04-14,44,PM2.5,Near Road,11-001-0051,AQS,7,35,44,25
2021-04-15,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,43,29,21
2021-04-16,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,39,18,14
2021-04-17,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,38,27,29
2021-04-18,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,30,36
2021-04-19,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,42,35,36
2021-04-20,49,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,49,35,26
2021-04-21,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,42,28,20
2021-04-22,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,43,26,27
2021-04-23,57,NO2,Near Road,11-001-0051,AQS,7,54,39,57
2021-04-24,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,58,48,41
2021-04-25,47,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,47,38,24
2021-04-26,48,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,48,25,41
2021-04-27,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,58,52,37
2021-04-28,61,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,61,57,40
2021-04-29,52,PM2.5,Near Road,11-001-0051,AQS,6,43,52,28
2021-04-30,44,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,44,16,8
2021-05-01,45,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,45,18,24
2021-05-02,58,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,58,37,20
2021-05-03,46,PM2.5,Near Road,11-001-0051,AQS,5,41,46,25
2021-05-04,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,41,33,22
2021-05-05,39,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,39,33,19
2021-05-06,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,38,25,33
2021-05-07,38,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,38,33,26
2021-05-08,41,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,41,19,25
2021-05-09,40,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,40,28,27
